시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
서울특별시 강남구 개포동,187,187,0,개포주공 5단지,83.17,202005,5,186000,1,1983,삼성로4길 17
서울특별시 강남구 개포동,187,187,0,개포주공 5단지,53.98,202005,16,157000,5,1983,삼성로4길 17
서울특별시 강남구 개포동,187,187,0,개포주공 5단지,74.25,202005,23,177000,2,1983,삼성로4길 17
서울특별시 강남구 개포동,185,185,0,개포주공 6단지,73.02,202005,8,175000,5,1983,개포로 516
서울특별시 강남구 개포동,185,185,0,개포주공 6단지,53.06,202005,15,150000,12,1983,개포로 516
서울특별시 강남구 개포동,185,185,0,개포주공 6단지,53.06,202005,16,146000,3,1983,개포로 516
서울특별시 강남구 개포동,185,185,0,개포주공 7단지,53.46,202005,17,144500,8,1983,개포로 516
서울특별시 강남구 개포동,185,185,0,개포주공 7단지,53.46,202005,23,150000,10,1983,개포로 516
서울특별시 강남구 개포동,185,185,0,개포주공 7단지,73.26,202005,31,180000,6,1983,개포로 516
서울특별시 강남구 개포동,138,138,0,디에이치아너힐즈,59.81,202005,2,189000,20,2019,삼성로 11
서울특별시 강남구 개포동,138,138,0,디에이치아너힐즈,76.17,202005,9,221000,21,2019,삼성로 11
서울특별시 강남구 개포동,138,138,0,디에이치아너힐즈,59.75,202005,21,188000,6,2019,삼성로 11
서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,84.943,202005,4,230000,10,2019,선릉로 8
서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,84.94,202005,4,251000,24,2019,선릉로 8
서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,113.732,202005,13,300000,14,2019,선릉로 8
서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,84.95,202005,19,230000,6,2019,선릉로 8
서울특별시 강남구 개포동,12,12,0,삼익대청아파트,51.12,202005,4,115500,11,1992,개포로109길 21
서울특별시 강남구 개포동,12,12,0,삼익대청아파트,60,202005,20,130300,11,1992,개포로109길 21
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,39.53,202005,6,102000,14,1992,개포로109길 9
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,49.86,202005,9,119500,4,1992,개포로109길 9
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,33.18,202005,12,88100,4,1992,개포로109길 9
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,33.18,202005,16,87000,13,1992,개포로109길 9
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,49.86,202005,18,119000,6,1992,개포로109길 9
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,39.53,202005,22,102000,2,1992,개포로109길 9
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,33.18,202005,23,89000,4,1992,개포로109길 9
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,49.86,202005,27,118000,8,1992,개포로109길 9
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,33.18,202005,27,89500,8,1992,개포로109길 9
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,49.86,202005,27,115000,9,1992,개포로109길 9
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,49.86,202005,30,117500,10,1992,개포로109길 9
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,49.86,202005,31,120000,15,1992,개포로109길 9
서울특별시 강남구 개포동,653,653,0,현대1차101동~106동,95.4,202005,10,175000,3,1984,개포로 303
서울특별시 강남구 개포동,653,653,0,현대1차101동~106동,95.4,202005,28,185000,11,1984,개포로 303
서울특별시 강남구 논현동,245,245,0,동양파라곤,180.07,202005,26,295000,6,2004,언주로130길 30
서울특별시 강남구 논현동,105,105,0,동현아파트 1~6,84.92,202005,15,163000,8,1985,언주로146길 18
서울특별시 강남구 논현동,58-2,58,2,마일스디오빌,36.29,202005,11,36400,3,2004,학동로 165
서울특별시 강남구 논현동,58-2,58,2,마일스디오빌,36.29,202005,19,36500,10,2004,학동로 165
서울특별시 강남구 논현동,122-25,122,25,세호시티라이프,45.04,202005,8,33500,5,1996,강남대로128길 27
서울특별시 강남구 논현동,22,22,0,신동아(22),35.73,202005,13,80000,4,1997,강남대로146길 28
서울특별시 강남구 논현동,22,22,0,신동아(22),35.73,202005,22,80000,5,1997,강남대로146길 28
서울특별시 강남구 논현동,276-1,276,1,아크로힐스논현,113.231,202005,7,214000,10,2014,언주로 604
서울특별시 강남구 논현동,276-1,276,1,아크로힐스논현,84.074,202005,13,192000,14,2014,언주로 604
서울특별시 강남구 논현동,194-23,194,23,한화꿈에그린2차,83.7,202005,5,104500,2,2006,봉은사로21길 19
서울특별시 강남구 대치동,503,503,0,개포우성1,84.81,202005,15,240000,14,1983,선릉로 120
서울특별시 강남구 대치동,500,500,0,개포우성2,84.69,202005,2,230000,10,1984,선릉로 120
서울특별시 강남구 대치동,500,500,0,개포우성2,127.78,202005,30,280000,15,1984,선릉로 120
서울특별시 강남구 대치동,1014-3,1014,3,대치삼성,59.88,202005,13,156500,3,2000,도곡로78길 22
서울특별시 강남구 대치동,1014-3,1014,3,대치삼성,97.35,202005,27,229000,7,2000,도곡로78길 22
서울특별시 강남구 대치동,888,888,0,대치아이파크,59.96,202005,11,177000,3,2008,선릉로 222
서울특별시 강남구 대치동,888,888,0,대치아이파크,84.93,202005,22,231000,7,2008,선릉로 222
서울특별시 강남구 대치동,974,974,0,대치현대,101.6,202005,15,200000,3,1999,삼성로64길 5
서울특별시 강남구 대치동,988-4,988,4,대치효성,84.94,202005,8,155000,12,1999,삼성로64길 12
서울특별시 강남구 대치동,670,670,0,동부센트레빌,145.83,202005,11,333000,15,2005,선릉로 206
서울특별시 강남구 대치동,670,670,0,동부센트레빌,145.83,202005,17,345000,22,2005,선릉로 206
서울특별시 강남구 대치동,1027,1027,0,래미안대치팰리스,84.99,202005,11,293000,6,2015,삼성로51길 37
서울특별시 강남구 대치동,1027,1027,0,래미안대치팰리스,91.91,202005,20,300000,20,2015,삼성로51길 35
서울특별시 강남구 대치동,1027,1027,0,래미안대치팰리스,84.99,202005,26,290000,22,2015,삼성로51길 37
서울특별시 강남구 대치동,1027,1027,0,래미안대치팰리스,91.93,202005,30,294000,16,2015,삼성로51길 35
서울특별시 강남구 대치동,506,506,0,선경2차(8동-12동),127.75,202005,31,315000,10,1985,삼성로 151
서울특별시 강남구 대치동,66,66,0,"쌍용대치아파트1동, 2동, 3동, 5동, 6동",128.03,202005,7,242500,4,1983,영동대로 210
서울특별시 강남구 대치동,316,316,0,은마,76.79,202005,1,178000,2,1979,삼성로 212
서울특별시 강남구 대치동,316,316,0,은마,84.43,202005,2,194000,8,1979,삼성로 212
서울특별시 강남구 대치동,316,316,0,은마,84.43,202005,5,201000,12,1979,삼성로 212
서울특별시 강남구 대치동,316,316,0,은마,84.43,202005,7,215500,10,1979,삼성로 212
서울특별시 강남구 대치동,316,316,0,은마,76.79,202005,7,183000,14,1979,삼성로 212
서울특별시 강남구 대치동,316,316,0,은마,84.43,202005,7,199500,10,1979,삼성로 212
서울특별시 강남구 대치동,316,316,0,은마,76.79,202005,7,188000,9,1979,삼성로 212
서울특별시 강남구 대치동,316,316,0,은마,76.79,202005,8,186000,6,1979,삼성로 212
서울특별시 강남구 대치동,316,316,0,은마,84.43,202005,12,204000,3,1979,삼성로 212
서울특별시 강남구 대치동,316,316,0,은마,76.79,202005,12,187000,12,1979,삼성로 212
서울특별시 강남구 대치동,316,316,0,은마,84.43,202005,12,207500,7,1979,삼성로 212
서울특별시 강남구 대치동,316,316,0,은마,84.43,202005,12,207000,13,1979,삼성로 212
서울특별시 강남구 대치동,316,316,0,은마,76.79,202005,14,189000,7,1979,삼성로 212
서울특별시 강남구 대치동,316,316,0,은마,76.79,202005,14,181000,4,1979,삼성로 212
서울특별시 강남구 대치동,316,316,0,은마,76.79,202005,15,176600,1,1979,삼성로 212
서울특별시 강남구 대치동,316,316,0,은마,76.79,202005,15,183500,3,1979,삼성로 212
서울특별시 강남구 대치동,316,316,0,은마,76.79,202005,18,195000,7,1979,삼성로 212
서울특별시 강남구 대치동,316,316,0,은마,76.79,202005,19,188500,13,1979,삼성로 212
서울특별시 강남구 대치동,316,316,0,은마,76.79,202005,19,194000,13,1979,삼성로 212
서울특별시 강남구 대치동,316,316,0,은마,76.79,202005,19,186000,14,1979,삼성로 212
서울특별시 강남구 대치동,316,316,0,은마,76.79,202005,22,193000,10,1979,삼성로 212
서울특별시 강남구 대치동,316,316,0,은마,76.79,202005,23,185000,4,1979,삼성로 212
서울특별시 강남구 대치동,511,511,0,한보미도맨션1,128.01,202005,22,285000,5,1983,삼성로 150
서울특별시 강남구 대치동,511,511,0,한보미도맨션1,128.01,202005,22,280000,3,1983,삼성로 150
서울특별시 강남구 대치동,511,511,0,한보미도맨션1,128.01,202005,22,275000,2,1983,삼성로 150
서울특별시 강남구 대치동,511,511,0,한보미도맨션2,115.05,202005,6,253000,2,1985,삼성로 150
서울특별시 강남구 대치동,511,511,0,한보미도맨션2,126.33,202005,7,269000,14,1985,삼성로 150
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,69.18,202005,22,70000,9,2006,강남대로 240
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,67.57,202005,30,78000,12,2006,강남대로 240
서울특별시 강남구 도곡동,967,967,0,경남,59.76,202005,15,140000,5,2005,논현로 209
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,130.545,202005,25,177000,24,1999,언주로30길 13
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,138.657,202005,30,189000,45,1999,언주로30길 13
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,84.9984,202005,4,230000,16,2006,선릉로 221
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,176.9924,202005,5,390000,21,2006,선릉로 221
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,59.9818,202005,9,179000,13,2006,선릉로 221
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,120.8233,202005,9,258500,21,2006,선릉로 221
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,84.9984,202005,9,230000,3,2006,선릉로 221
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,59.9937,202005,11,160000,11,2006,선릉로 221
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,120.8233,202005,16,264500,20,2006,선릉로 221
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,114.9931,202005,18,290000,19,2006,선릉로 221
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,119.8906,202005,19,260000,6,2006,선릉로 221
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,119.8906,202005,23,265000,22,2006,선릉로 221
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,84.9984,202005,30,235000,12,2006,선릉로 221
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,59.9818,202005,30,183000,8,2006,선릉로 221
서울특별시 강남구 도곡동,514-3,514,3,도곡스타빌,53.81,202005,22,46500,3,2006,남부순환로370길 20
서울특별시 강남구 도곡동,933,933,0,도곡쌍용예가,107.53,202005,8,184800,3,1978,남부순환로363길 30
서울특별시 강남구 도곡동,199-1,199,1,도곡지웰카운티 102동,125.49,202005,15,183000,4,2010,남부순환로373길 9
서울특별시 강남구 도곡동,538-3,538,3,래미안도곡카운티,71.85,202005,23,212000,2,2016,도곡로 320
서울특별시 강남구 도곡동,963,963,0,럭키(963),84.97,202005,13,140000,3,1995,논현로 213
서울특별시 강남구 도곡동,963,963,0,럭키(963),84.97,202005,18,150500,2,1995,논현로 213
서울특별시 강남구 도곡동,963,963,0,럭키(963),84.97,202005,29,164000,15,1995,논현로 213
서울특별시 강남구 도곡동,966,966,0,매봉삼성,84.95,202005,16,145000,15,1999,언주로 203
서울특별시 강남구 도곡동,966,966,0,매봉삼성,84.95,202005,20,139700,5,1999,언주로 203
서울특별시 강남구 도곡동,91-5,91,5,삼성래미안,122.81,202005,2,230000,4,2001,남부순환로 2803
서울특별시 강남구 도곡동,91-5,91,5,삼성래미안,84.76,202005,11,190000,20,2001,남부순환로 2803
서울특별시 강남구 도곡동,91-5,91,5,삼성래미안,122.81,202005,27,239000,6,2001,남부순환로 2803
서울특별시 강남구 도곡동,91-5,91,5,삼성래미안,84.76,202005,29,193500,22,2001,남부순환로 2803
서울특별시 강남구 도곡동,934-10,934,10,역삼우성,84.83,202005,11,148000,14,1986,남부순환로363길 49
서울특별시 강남구 도곡동,465,465,0,우성4,84.6,202005,23,190000,5,1985,언주로 117
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터199,132.94,202005,19,165000,23,1998,언주로 118
서울특별시 강남구 도곡동,965,965,0,중명하니빌,46,202005,16,41900,4,1997,남부순환로365길 5
서울특별시 강남구 도곡동,467,467,0,타워팰리스1,164.97,202005,6,280000,27,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스1,164.97,202005,8,298000,43,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스1,174.67,202005,28,220000,26,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스1,164.97,202005,28,283000,26,2002,언주로30길 56
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스2,156.5,202005,6,290000,41,2003,언주로30길 57
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스2,144.63,202005,14,252000,31,2003,언주로30길 57
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스2,115.63,202005,25,232000,18,2003,언주로30길 57
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스2,156.5,202005,26,230000,36,2003,언주로30길 57
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스2,159.44,202005,28,283000,24,2003,언주로30길 57
서울특별시 강남구 도곡동,467-29,467,29,타워팰리스3,141.381,202005,5,265000,24,2004,언주로30길 26
서울특별시 강남구 도곡동,467-29,467,29,타워팰리스3,185.622,202005,11,350000,63,2004,언주로30길 26
서울특별시 강남구 도곡동,467-29,467,29,타워팰리스3,141.381,202005,14,245000,51,2004,언주로30길 26
서울특별시 강남구 도곡동,467-29,467,29,타워팰리스3,163.702,202005,21,290000,23,2004,언주로30길 26
서울특별시 강남구 도곡동,467-29,467,29,타워팰리스3,141.648,202005,25,255000,47,2004,언주로30길 26
서울특별시 강남구 도곡동,550-1,550,1,파크힐,88.77,202005,30,89500,5,2005,도곡로14길 14-1
서울특별시 강남구 도곡동,164-6,164,6,포스코트,209.03,202005,4,245000,4,2002,남부순환로381길 15
서울특별시 강남구 도곡동,464,464,0,한신(개포),52.73,202005,28,155000,7,1985,언주로 123
서울특별시 강남구 도곡동,467-19,467,19,현대비젼21,32.65,202005,14,32000,19,1999,언주로30길 10
서울특별시 강남구 삼성동,142-7,142,7,LG선릉에클라트(A),36.16,202005,7,34500,4,2003,선릉로100길 42
서울특별시 강남구 삼성동,142-3,142,3,LG선릉에클라트(B),36.35,202005,20,32700,13,2004,테헤란로63길 12
서울특별시 강남구 삼성동,142-3,142,3,LG선릉에클라트(B),36.35,202005,27,37500,15,2004,테헤란로63길 12
서울특별시 강남구 삼성동,29-11,29,11,SM드림빌,52.79,202005,4,59000,2,2003,봉은사로61길 34
서울특별시 강남구 삼성동,43,43,0,삼성동 롯데캐슬 킹덤,170.8,202005,20,260000,2,2005,선릉로112길 53
서울특별시 강남구 삼성동,17,17,0,삼성동롯데아파트,59.4,202005,24,137000,13,2000,학동로 432
서울특별시 강남구 삼성동,14-1,14,1,삼성동중앙하이츠빌리지,152.98,202005,30,257000,3,2004,학동로68길 30
서울특별시 강남구 삼성동,82-1,82,1,삼성동헤렌하우스2(82-1),217.86,202005,27,340000,6,2010,영동대로128길 45
서울특별시 강남구 삼성동,82-4,82,4,삼성동헤렌하우스2(82-4),183.99,202005,11,280000,4,2010,영동대로128길 51
서울특별시 강남구 삼성동,16-2,16,2,삼성동힐스테이트 1단지,84.236,202005,23,221000,20,2008,학동로68길 29
서울특별시 강남구 삼성동,16-2,16,2,삼성동힐스테이트 1단지,114.463,202005,26,250000,17,2008,학동로68길 29
서울특별시 강남구 삼성동,16-2,16,2,삼성동힐스테이트 1단지,84.503,202005,30,209500,12,2008,학동로68길 29
서울특별시 강남구 삼성동,97-2,97,2,시티(B동),157.63,202005,28,212000,7,1992,봉은사로109길 66-7
서울특별시 강남구 삼성동,117,117,0,쌍용플래티넘,152.25,202005,16,194000,19,2003,봉은사로 474
서울특별시 강남구 삼성동,144-10,144,10,우정에쉐르2,59.64,202005,16,74000,4,2004,테헤란로77길 8
서울특별시 강남구 삼성동,48,48,0,한일,80.29,202005,11,149000,3,2001,봉은사로73길 23
서울특별시 강남구 삼성동,50,50,0,현대힐스테이트 2단지,84.435,202005,6,210000,18,2008,삼성로111길 8
서울특별시 강남구 삼성동,50,50,0,현대힐스테이트 2단지,84.236,202005,13,232000,9,2008,삼성로111길 8
서울특별시 강남구 삼성동,79,79,0,홍실아파트,94.26,202005,8,235000,5,1981,영동대로128길 15
서울특별시 강남구 삼성동,79,79,0,홍실아파트,96.32,202005,20,260000,9,1981,영동대로128길 15
서울특별시 강남구 세곡동,525,525,0,강남데시앙파크,114.69,202005,23,132000,8,2011,헌릉로590길 63
서울특별시 강남구 세곡동,525,525,0,강남데시앙파크,84.95,202005,23,115000,5,2011,헌릉로590길 63
서울특별시 강남구 세곡동,511,511,0,강남신동아파밀리에2단지,84.97,202005,23,116700,9,2011,헌릉로590길 10
서울특별시 강남구 세곡동,579,579,0,강남엘에이치1단지,59.89,202005,16,109500,6,2013,헌릉로571길 20
서울특별시 강남구 세곡동,533,533,0,세곡푸르지오,59.89,202005,9,110000,9,2012,자곡로 21
서울특별시 강남구 세곡동,533,533,0,세곡푸르지오,74.74,202005,27,123000,15,2012,자곡로 21
서울특별시 강남구 수서동,537,537,0,강남 더샵 포레스트,124.5802,202005,28,232000,10,2016,광평로34길 35
서울특별시 강남구 수서동,746,746,0,까치마을,34.44,202005,1,79000,13,1993,광평로19길 10
서울특별시 강남구 수서동,746,746,0,까치마을,34.44,202005,14,78500,9,1993,광평로19길 10
서울특별시 강남구 수서동,746,746,0,까치마을,49.5,202005,19,111250,11,1993,광평로19길 10
서울특별시 강남구 수서동,746,746,0,까치마을,49.5,202005,23,110000,4,1993,광평로19길 10
서울특별시 강남구 수서동,746,746,0,까치마을,34.44,202005,28,78000,11,1993,광평로19길 10
서울특별시 강남구 수서동,746,746,0,까치마을,39.6,202005,30,89900,6,1993,광평로19길 10
서울특별시 강남구 수서동,747,747,0,삼성,84.97,202005,5,148700,12,1997,광평로31길 27
서울특별시 강남구 수서동,747,747,0,삼성,84.97,202005,16,143500,2,1997,광평로31길 27
서울특별시 강남구 수서동,708,708,0,삼익,49.2,202005,30,99500,11,1992,광평로51길 27
서울특별시 강남구 수서동,712,712,0,수서한아름,97.63,202005,14,143000,9,1993,광평로51길 22
서울특별시 강남구 수서동,712,712,0,수서한아름,97.63,202005,25,146000,12,1993,광평로51길 22
서울특별시 강남구 수서동,736,736,0,신동아,39.51,202005,19,90000,15,1992,광평로47길 17
서울특별시 강남구 수서동,736,736,0,신동아,49.96,202005,30,105000,11,1992,광평로47길 17
서울특별시 강남구 신사동,510-11,510,11,강남상가,63.31,202005,30,51000,4,1974,압구정로2길 46
서울특별시 강남구 신사동,522,522,0,신사아이빌,84.93,202005,25,81700,5,2006,압구정로2길 15
서울특별시 강남구 신사동,659,659,0,압구정대원칸타빌아파트,81.25,202005,6,119000,6,2001,압구정로48길 15
서울특별시 강남구 신사동,547-7,547,7,유로미A동,84.83,202005,25,80000,5,2004,압구정로14길 16
서울특별시 강남구 압구정동,414,414,0,미성1차,180.53,202005,16,320000,2,1982,압구정로11길 17
서울특별시 강남구 압구정동,397,397,0,미성2차,118.63,202005,4,240000,4,1987,압구정로 113
서울특별시 강남구 압구정동,397,397,0,미성2차,140.9,202005,7,272500,5,1987,압구정로 113
서울특별시 강남구 압구정동,397,397,0,미성2차,74.4,202005,11,185000,7,1987,압구정로 113
서울특별시 강남구 압구정동,433,433,0,신현대11차,170.81,202005,2,427000,12,1983,압구정로 151
서울특별시 강남구 압구정동,434,434,0,신현대12차,182.95,202005,4,409000,5,1982,압구정로 151
서울특별시 강남구 압구정동,426,426,0,신현대9차,152.28,202005,6,348000,8,1982,압구정로 151
서울특별시 강남구 압구정동,426,426,0,신현대9차,111.38,202005,11,240000,6,1982,압구정로 151
서울특별시 강남구 압구정동,426,426,0,신현대9차,108.88,202005,19,250000,6,1982,압구정로 151
서울특별시 강남구 압구정동,490,490,0,한양1차(영동한양),63.87,202005,7,180000,3,1977,압구정로 321
서울특별시 강남구 압구정동,490,490,0,한양1차(영동한양),63.87,202005,8,186000,11,1977,압구정로 321
서울특별시 강남구 압구정동,490,490,0,한양1차(영동한양),63.87,202005,13,180000,2,1977,압구정로 321
서울특별시 강남구 압구정동,490,490,0,한양1차(영동한양),63.87,202005,16,180000,3,1977,압구정로 321
서울특별시 강남구 압구정동,490,490,0,한양1차(영동한양),63.87,202005,28,183000,3,1977,압구정로 321
서울특별시 강남구 압구정동,493,493,0,한양2,175.92,202005,9,314000,2,1978,압구정로 347
서울특별시 강남구 압구정동,493,493,0,한양2,175.92,202005,13,349000,6,1978,압구정로 347
서울특별시 강남구 압구정동,489,489,0,한양3,117.26,202005,9,245000,2,1978,압구정로 321
서울특별시 강남구 압구정동,489,489,0,한양3,116.94,202005,29,263400,8,1978,압구정로 321
서울특별시 강남구 압구정동,486,486,0,한양4,101.09,202005,1,200000,2,1978,압구정로 313
서울특별시 강남구 압구정동,513,513,0,한양5,100.5,202005,9,209000,5,1979,압구정로 401
서울특별시 강남구 압구정동,436,436,0,"현대10차(201,202동)",108.15,202005,18,237000,8,1982,압구정로29길 69
서울특별시 강남구 압구정동,447,447,0,"현대14차(203,204,205,206동)",84.98,202005,26,256000,7,1987,압구정로29길 57
서울특별시 강남구 압구정동,447,447,0,"현대14차(203,204,205,206동)",84.94,202005,28,245000,13,1987,압구정로29길 57
서울특별시 강남구 압구정동,369-1,369,1,"현대1차(12,13,21,22,31,32,33동)",161.19,202005,18,350000,8,1976,압구정로29길 71
서울특별시 강남구 압구정동,369-1,369,1,"현대1차(12,13,21,22,31,32,33동)",161.18,202005,28,310000,12,1976,압구정로29길 71
서울특별시 강남구 압구정동,369-1,369,1,"현대2차(10,11,20,23,24,25동)",198.41,202005,25,470000,11,1976,압구정로29길 71
서울특별시 강남구 압구정동,443,443,0,현대3차(61~64동),82.5,202005,7,195000,1,1976,압구정로39길 58
서울특별시 강남구 압구정동,443,443,0,현대3차(61~64동),82.5,202005,22,220000,8,1976,압구정로39길 58
서울특별시 강남구 압구정동,455,455,0,"현대5차(71,72동)",82.23,202005,8,238000,5,1977,압구정로29길 68
서울특별시 강남구 압구정동,455,455,0,"현대5차(71,72동)",82.23,202005,9,240000,10,1977,압구정로29길 68
서울특별시 강남구 압구정동,456,456,0,"현대6차(78~81,83,84,86,87동)",157.36,202005,16,360000,5,1978,압구정로 201
서울특별시 강남구 압구정동,456,456,0,"현대6차(78~81,83,84,86,87동)",144.2,202005,20,328000,2,1978,압구정로 201
서울특별시 강남구 압구정동,456,456,0,"현대6차(78~81,83,84,86,87동)",157.36,202005,30,360000,7,1978,압구정로 201
서울특별시 강남구 압구정동,456,456,0,"현대7차(73~77,82,85동)",157.36,202005,20,360000,6,1979,압구정로 201
서울특별시 강남구 압구정동,456,456,0,"현대7차(73~77,82,85동)",196.7,202005,25,451000,4,1979,압구정로 201
서울특별시 강남구 압구정동,481,481,0,현대8차(성수현대:91~95동),107.64,202005,2,220000,6,1980,압구정로 309
서울특별시 강남구 압구정동,481,481,0,현대8차(성수현대:91~95동),107.64,202005,9,221000,3,1980,압구정로 309
서울특별시 강남구 압구정동,481,481,0,현대8차(성수현대:91~95동),107.64,202005,26,235000,10,1980,압구정로 309
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,84.991,202005,8,205000,5,2005,선릉로69길 20
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,59.947,202005,9,163000,8,2005,선릉로69길 20
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,59.947,202005,13,177000,14,2005,선릉로69길 20
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,84.991,202005,17,203000,6,2005,선릉로69길 20
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,59.606,202005,20,165000,19,2005,선릉로69길 20
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,59.947,202005,20,170000,5,2005,선릉로69길 20
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,84.991,202005,21,213000,7,2005,선릉로69길 20
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,84.991,202005,27,215500,16,2005,선릉로69길 20
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,59.606,202005,30,174800,14,2005,선릉로69길 20
서울특별시 강남구 역삼동,838-10,838,10,강남웅진베어스빌,18.61,202005,25,40120,12,2019,도곡로 113
서울특별시 강남구 역삼동,754,754,0,개나리래미안,59.95,202005,11,159000,3,2006,역삼로 306
서울특별시 강남구 역삼동,783-28,783,28,갤러리아트,53.65,202005,8,47000,3,2002,언주로63길 30
서울특별시 강남구 역삼동,783-3,783,3,갤러리하우스,84.95,202005,19,70000,1,2002,도곡로33길 16
서울특별시 강남구 역삼동,722,722,0,경남아너스빌,81.013,202005,4,119000,16,2002,언주로85길 13
서울특별시 강남구 역삼동,727-2,727,2,대명벨리온,17.684,202005,23,21000,3,2012,역삼로25길 27
서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,59.505,202005,12,66500,26,2002,언주로 427
서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,59.145,202005,23,64000,9,2002,언주로 427
서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,59.505,202005,23,69500,22,2002,언주로 427
서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,30.03,202005,31,32000,10,2002,언주로 427
서울특별시 강남구 역삼동,824-25,824,25,대우디오빌플러스,43.99,202005,11,42800,9,2004,강남대로84길 33
서울특별시 강남구 역삼동,824-25,824,25,대우디오빌플러스,43.99,202005,23,41000,6,2004,강남대로84길 33
서울특별시 강남구 역삼동,763-16,763,16,래미안그레이튼,59.97,202005,17,166000,12,2009,도곡로43길 20
서울특별시 강남구 역삼동,762-3,762,3,래미안그레이튼(진달래2차),84.87,202005,22,201000,21,2010,도곡로 306
서울특별시 강남구 역삼동,835-68,835,68,롯데캐슬노블,176.03,202005,5,170000,2,2007,도곡로13길 19
서울특별시 강남구 역삼동,835-68,835,68,롯데캐슬노블,176.03,202005,18,179000,12,2007,도곡로13길 19
서울특별시 강남구 역삼동,835-68,835,68,롯데캐슬노블,176.03,202005,25,173000,4,2007,도곡로13길 19
서울특별시 강남구 역삼동,729-37,729,37,명인갤러리,84.78,202005,7,85500,5,2002,언주로75길 22
서울특별시 강남구 역삼동,729-37,729,37,명인갤러리,84.78,202005,29,89000,1,2002,언주로75길 22
서울특별시 강남구 역삼동,826-37,826,37,쌍용플레티넘밸류,84.96,202005,16,114000,15,2007,테헤란로4길 46
서울특별시 강남구 역삼동,713-11,713,11,역삼 I'PARK,28.246,202005,23,79000,13,2006,역삼로 307
서울특별시 강남구 역삼동,713-11,713,11,역삼 I'PARK,144.641,202005,27,270000,13,2006,역삼로 307
서울특별시 강남구 역삼동,765-32,765,32,역삼2차아이파크,84.891,202005,30,186000,3,2008,도곡로57길 12
서울특별시 강남구 역삼동,667-1,667,1,역삼동골든베리힐,66.02,202005,19,45000,5,2004,논현로102길 4
서울특별시 강남구 역삼동,656-32,656,32,역삼동그린비,106.69,202005,1,85700,4,2004,언주로103길 12
